origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
34,Tshalubar,9,27.447167,89.662296,103,Chang Rigphel PS,27.4377037677,89.6555866401,,
35,Tshalumarphey,26,27.447167,89.662296,103,Chang Rigphel PS,27.4377037677,89.6555866401,,
36,Yangchenphug,1,27.447167,89.662296,103,Chang Rigphel PS,27.467397,89.6467373768,,
37,Yoselpang,1,27.447167,89.662296,103,Chang Rigphel PS,27.462597,89.705355,,
1,Babesa,32,27.475287,89.631975,104,Changangkha MSS,27.4291816677,89.6472096023,,
2,Begana,4,27.475287,89.631975,104,Changangkha MSS,27.5718908596,89.6357002125,,
3,Bjemina,2,27.475287,89.631975,104,Changangkha MSS,27.402968,89.570704,,
4,Changangkha,230,27.475287,89.631975,104,Changangkha MSS,27.4724539904,89.6308464685,,
4,Changbangdu,8,27.475287,89.631975,104,Changangkha MSS,27.4513917224,89.6472442834,,
5,Changgidaphu,33,27.475287,89.631975,104,Changangkha MSS,27.4599353896,89.6333761155,,
6,Changjalu,16,27.475287,89.631975,104,Changangkha MSS,27.4469707462,89.6587524835,,
7,Changzamtog,48,27.475287,89.631975,104,Changangkha MSS,27.4611489703,89.641853715,,
8,Chanjiji,28,27.475287,89.631975,104,Changangkha MSS,27.4555043578,89.6529220173,,
9,Core,54,27.475287,89.631975,104,Changangkha MSS,27.4733136477,89.6382533581,,
10,Debsi,5,27.475287,89.631975,104,Changangkha MSS,27.4315666969,89.6403752994,,
11,Dechencholing,17,27.475287,89.631975,104,Changangkha MSS,27.5326052807,89.6425383727,,
13,Gangchey,2,27.475287,89.631975,104,Changangkha MSS,27.4177850318,89.6418826587,,
14,Gidakom,2,27.475287,89.631975,104,Changangkha MSS,27.404767,89.569741,,
15,Hejo,10,27.475287,89.631975,104,Changangkha MSS,27.50077888,89.6336932565,,
17,Jungshina,25,27.475287,89.631975,104,Changangkha MSS,27.5107091633,89.6341291296,,
18,Kabisa,4,27.475287,89.631975,104,Changangkha MSS,27.5490698811,89.6542996104,,
19,Kawangjangsa,20,27.475287,89.631975,104,Changangkha MSS,27.4855720912,89.6302952398,,
20,Khasadrapchu,1,27.475287,89.631975,104,Changangkha MSS,27.386985,89.584902,,
22,Langjophakha,21,27.475287,89.631975,104,Changangkha MSS,27.4958974797,89.6413215052,,
23,Lubding,1,27.475287,89.631975,104,Changangkha MSS,27.4497466283,89.6694540333,,
24,Motithang,94,27.475287,89.631975,104,Changangkha MSS,27.4766506425,89.6197167055,,
26,Olakha,25,27.475287,89.631975,104,Changangkha MSS,27.4469707462,89.6587524835,,
27,Pamtsho,3,27.475287,89.631975,104,Changangkha MSS,27.5107091633,89.6341291296,,
29,RTC,12,27.475287,89.631975,104,Changangkha MSS,27.4034984778,89.6566570452,,
30,Samtenling,15,27.475287,89.631975,104,Changangkha MSS,27.50077888,89.6336932565,,
31,Serbithang,2,27.475287,89.631975,104,Changangkha MSS,27.4202951523,89.6559116068,,
32,Simtokha,7,27.475287,89.631975,104,Changangkha MSS,27.4344083978,89.6678739051,,
33,Taba,36,27.475287,89.631975,104,Changangkha MSS,27.5129062519,89.6451777064,,
34,Tshalubar,1,27.475287,89.631975,104,Changangkha MSS,27.4377037677,89.6555866401,,
35,Tshalumarphey,3,27.475287,89.631975,104,Changangkha MSS,27.4377037677,89.6555866401,,
36,Yangchenphug,7,27.475287,89.631975,104,Changangkha MSS,27.467397,89.6467373768,,
37,Yoselpang,1,27.475287,89.631975,104,Changangkha MSS,27.462597,89.705355,,
38,Zilukha,4,27.475287,89.631975,104,Changangkha MSS,27.4855720912,89.6302952398,,
1,Babesa,59,27.460561,89.64135,105,Changzamtog MSS,27.4291816677,89.6472096023,,
2,Begana,4,27.460561,89.64135,105,Changzamtog MSS,27.5718908596,89.6357002125,,
4,Changangkha,32,27.460561,89.64135,105,Changzamtog MSS,27.4724539904,89.6308464685,,
4,Changbangdu,80,27.460561,89.64135,105,Changzamtog MSS,27.4513917224,89.6472442834,,
5,Changgidaphu,158,27.460561,89.64135,105,Changzamtog MSS,27.4599353896,89.6333761155,,
6,Changjalu,12,27.460561,89.64135,105,Changzamtog MSS,27.4469707462,89.6587524835,,
7,Changzamtog,789,27.460561,89.64135,105,Changzamtog MSS,27.4611489703,89.641853715,,
8,Chanjiji,57,27.460561,89.64135,105,Changzamtog MSS,27.4555043578,89.6529220173,,
9,Core,15,27.460561,89.64135,105,Changzamtog MSS,27.4733136477,89.6382533581,,
10,Debsi,6,27.460561,89.64135,105,Changzamtog MSS,27.4315666969,89.6403752994,,
11,Dechencholing,4,27.460561,89.64135,105,Changzamtog MSS,27.5326052807,89.6425383727,,
12,Dzong,1,27.460561,89.64135,105,Changzamtog MSS,27.4883002592,89.635544727,,
15,Hejo,3,27.460561,89.64135,105,Changzamtog MSS,27.50077888,89.6336932565,,
