origin_id,origin_zone,dest_id,dest_school,count(*),school_lat,School_long,zone_lat,zone_long
72,Yoselpang,103,Chang Rigphel PS,1,27.447167,89.662296,27.462597,89.705355
73,Babesa,104,Changangkha MSS,32,27.475287,89.631975,27.4291816677,89.6472096023
74,Begana,104,Changangkha MSS,4,27.475287,89.631975,27.5718908596,89.6357002125
75,Bjemina,104,Changangkha MSS,2,27.475287,89.631975,27.402968,89.570704
76,Changangkha,104,Changangkha MSS,230,27.475287,89.631975,27.4724539904,89.6308464685
77,Changbangdu,104,Changangkha MSS,8,27.475287,89.631975,27.4513917224,89.6472442834
78,Changgidaphu,104,Changangkha MSS,33,27.475287,89.631975,27.4599353896,89.6333761155
79,Changjalu,104,Changangkha MSS,16,27.475287,89.631975,27.4469707462,89.6587524835
80,Changzamtog,104,Changangkha MSS,48,27.475287,89.631975,27.4611489703,89.641853715
81,Chanjiji,104,Changangkha MSS,28,27.475287,89.631975,27.4555043578,89.6529220173
82,Core,104,Changangkha MSS,54,27.475287,89.631975,27.4733136477,89.6382533581
83,Debsi,104,Changangkha MSS,5,27.475287,89.631975,27.4315666969,89.6403752994
84,Dechencholing,104,Changangkha MSS,17,27.475287,89.631975,27.5326052807,89.6425383727
85,Gangchey,104,Changangkha MSS,2,27.475287,89.631975,27.4177850318,89.6418826587
86,Gidakom,104,Changangkha MSS,2,27.475287,89.631975,27.404767,89.569741
87,Hejo,104,Changangkha MSS,10,27.475287,89.631975,27.50077888,89.6336932565
88,Jungshina,104,Changangkha MSS,25,27.475287,89.631975,27.5107091633,89.6341291296
89,Kabisa,104,Changangkha MSS,4,27.475287,89.631975,27.5490698811,89.6542996104
90,Kawangjangsa,104,Changangkha MSS,20,27.475287,89.631975,27.4855720912,89.6302952398
91,Khasadrapchu,104,Changangkha MSS,1,27.475287,89.631975,27.386985,89.584902
92,Langjophakha,104,Changangkha MSS,21,27.475287,89.631975,27.4958974797,89.6413215052
93,Lubding,104,Changangkha MSS,1,27.475287,89.631975,27.4497466283,89.6694540333
94,Motithang,104,Changangkha MSS,94,27.475287,89.631975,27.4766506425,89.6197167055
95,Olakha,104,Changangkha MSS,25,27.475287,89.631975,27.4469707462,89.6587524835
96,Pamtsho,104,Changangkha MSS,3,27.475287,89.631975,27.5107091633,89.6341291296
97,RTC,104,Changangkha MSS,12,27.475287,89.631975,27.4034984778,89.6566570452
98,Samtenling,104,Changangkha MSS,15,27.475287,89.631975,27.50077888,89.6336932565
99,Serbithang,104,Changangkha MSS,2,27.475287,89.631975,27.4202951523,89.6559116068
100,Simtokha,104,Changangkha MSS,7,27.475287,89.631975,27.4344083978,89.6678739051
101,Taba,104,Changangkha MSS,36,27.475287,89.631975,27.5129062519,89.6451777064
102,Tshalubar,104,Changangkha MSS,1,27.475287,89.631975,27.4377037677,89.6555866401
103,Tshalumarphey,104,Changangkha MSS,3,27.475287,89.631975,27.4377037677,89.6555866401
104,Yangchenphug,104,Changangkha MSS,7,27.475287,89.631975,27.467397,89.6467373768
105,Yoselpang,104,Changangkha MSS,1,27.475287,89.631975,27.462597,89.705355
106,Zilukha,104,Changangkha MSS,4,27.475287,89.631975,27.4855720912,89.6302952398
107,Babesa,105,Changzamtog MSS,59,27.460561,89.64135,27.4291816677,89.6472096023
108,Begana,105,Changzamtog MSS,4,27.460561,89.64135,27.5718908596,89.6357002125
109,Changangkha,105,Changzamtog MSS,32,27.460561,89.64135,27.4724539904,89.6308464685
110,Changbangdu,105,Changzamtog MSS,80,27.460561,89.64135,27.4513917224,89.6472442834
111,Changgidaphu,105,Changzamtog MSS,158,27.460561,89.64135,27.4599353896,89.6333761155
112,Changjalu,105,Changzamtog MSS,12,27.460561,89.64135,27.4469707462,89.6587524835
113,Changzamtog,105,Changzamtog MSS,789,27.460561,89.64135,27.4611489703,89.641853715
114,Chanjiji,105,Changzamtog MSS,57,27.460561,89.64135,27.4555043578,89.6529220173
115,Core,105,Changzamtog MSS,15,27.460561,89.64135,27.4733136477,89.6382533581
116,Debsi,105,Changzamtog MSS,6,27.460561,89.64135,27.4315666969,89.6403752994
117,Dechencholing,105,Changzamtog MSS,4,27.460561,89.64135,27.5326052807,89.6425383727
118,Dzong,105,Changzamtog MSS,1,27.460561,89.64135,27.4883002592,89.635544727
119,Hejo,105,Changzamtog MSS,3,27.460561,89.64135,27.50077888,89.6336932565
120,Hongtsho,105,Changzamtog MSS,1,27.460561,89.64135,27.485941,89.724004
121,Jungshina,105,Changzamtog MSS,5,27.460561,89.64135,27.5107091633,89.6341291296
122,Kabisa,105,Changzamtog MSS,3,27.460561,89.64135,27.5490698811,89.6542996104
123,Kawangjangsa,105,Changzamtog MSS,4,27.460561,89.64135,27.4855720912,89.6302952398
124,Khasadrapchu,105,Changzamtog MSS,2,27.460561,89.64135,27.386985,89.584902
125,Kungacholing,105,Changzamtog MSS,1,27.460561,89.64135,27.4766506425,89.6197167055
126,Langjophakha,105,Changzamtog MSS,4,27.460561,89.64135,27.4958974797,89.6413215052
127,Motithang,105,Changzamtog MSS,10,27.460561,89.64135,27.4766506425,89.6197167055
128,Namseyling,105,Changzamtog MSS,2,27.460561,89.64135,27.404257,89.6064
129,Olakha,105,Changzamtog MSS,57,27.460561,89.64135,27.4469707462,89.6587524835
130,Pamtsho,105,Changzamtog MSS,2,27.460561,89.64135,27.5107091633,89.6341291296
131,Ramtokto,105,Changzamtog MSS,1,27.460561,89.64135,27.416321,89.622819
132,RTC,105,Changzamtog MSS,5,27.460561,89.64135,27.4034984778,89.6566570452
133,Samtenling,105,Changzamtog MSS,7,27.460561,89.64135,27.50077888,89.6336932565
134,Serbithang,105,Changzamtog MSS,2,27.460561,89.64135,27.4202951523,89.6559116068
135,Simtokha,105,Changzamtog MSS,11,27.460561,89.64135,27.4344083978,89.6678739051
136,Taba,105,Changzamtog MSS,11,27.460561,89.64135,27.5129062519,89.6451777064
137,Tshalubar,105,Changzamtog MSS,1,27.460561,89.64135,27.4377037677,89.6555866401
138,Tshalumarphey,105,Changzamtog MSS,3,27.460561,89.64135,27.4377037677,89.6555866401
139,Yangchenphug,105,Changzamtog MSS,8,27.460561,89.64135,27.467397,89.6467373768
140,Yoselpang,105,Changzamtog MSS,8,27.460561,89.64135,27.462597,89.705355
141,Zilukha,105,Changzamtog MSS,3,27.460561,89.64135,27.4855720912,89.6302952398
142,Babesa,106,Dechencholing HSS,5,27.526811,89.644576,27.4291816677,89.6472096023
143,Begana,106,Dechencholing HSS,7,27.526811,89.644576,27.5718908596,89.6357002125
144,Changangkha,106,Dechencholing HSS,1,27.526811,89.644576,27.4724539904,89.6308464685
145,Chanjiji,106,Dechencholing HSS,2,27.526811,89.644576,27.4555043578,89.6529220173
146,Dechencholing,106,Dechencholing HSS,1085,27.526811,89.644576,27.5326052807,89.6425383727
147,Dzong,106,Dechencholing HSS,1,27.526811,89.644576,27.4883002592,89.635544727
148,Gidakom,106,Dechencholing HSS,1,27.526811,89.644576,27.404767,89.569741
149,Hejo,106,Dechencholing HSS,3,27.526811,89.644576,27.50077888,89.6336932565
150,Jungshina,106,Dechencholing HSS,6,27.526811,89.644576,27.5107091633,89.6341291296
151,Kabisa,106,Dechencholing HSS,84,27.526811,89.644576,27.5490698811,89.6542996104
152,Langjophakha,106,Dechencholing HSS,3,27.526811,89.644576,27.4958974797,89.6413215052
153,Motithang,106,Dechencholing HSS,1,27.526811,89.644576,27.4766506425,89.6197167055
154,Olakha,106,Dechencholing HSS,1,27.526811,89.644576,27.4469707462,89.6587524835
155,Pamtsho,106,Dechencholing HSS,17,27.526811,89.644576,27.5107091633,89.6341291296
156,Simtokha,106,Dechencholing HSS,2,27.526811,89.644576,27.4344083978,89.6678739051
157,Taba,106,Dechencholing HSS,103,27.526811,89.644576,27.5129062519,89.6451777064
158,Zilukha,106,Dechencholing HSS,2,27.526811,89.644576,27.4855720912,89.6302952398
159,Babesa,107,Deki PS,9,27.459145,89.645896,27.4291816677,89.6472096023
160,Changbangdu,107,Deki PS,12,27.459145,89.645896,27.4513917224,89.6472442834
161,Changgidaphu,107,Deki PS,2,27.459145,89.645896,27.4599353896,89.6333761155
162,Changjalu,107,Deki PS,3,27.459145,89.645896,27.4469707462,89.6587524835
163,Changzamtog,107,Deki PS,18,27.459145,89.645896,27.4611489703,89.641853715
164,Core,107,Deki PS,1,27.459145,89.645896,27.4733136477,89.6382533581
165,Debsi,107,Deki PS,1,27.459145,89.645896,27.4315666969,89.6403752994
166,Motithang,107,Deki PS,1,27.459145,89.645896,27.4766506425,89.6197167055
167,Olakha,107,Deki PS,6,27.459145,89.645896,27.4469707462,89.6587524835
168,Ramtokto,107,Deki PS,1,27.459145,89.645896,27.416321,89.622819
169,Simtokha,107,Deki PS,2,27.459145,89.645896,27.4344083978,89.6678739051
170,Taba,107,Deki PS,1,27.459145,89.645896,27.5129062519,89.6451777064
171,Zilukha,107,Deki PS,2,27.459145,89.645896,27.4855720912,89.6302952398
172,Babesa,108,Dr. Tobgyel MSS,209,27.431219,89.648438,27.4291816677,89.6472096023
173,Changangkha,108,Dr. Tobgyel MSS,7,27.431219,89.648438,27.4724539904,89.6308464685
174,Changbangdu,108,Dr. Tobgyel MSS,3,27.431219,89.648438,27.4513917224,89.6472442834
175,Changjalu,108,Dr. Tobgyel MSS,15,27.431219,89.648438,27.4469707462,89.6587524835
176,Changzamtog,108,Dr. Tobgyel MSS,4,27.431219,89.648438,27.4611489703,89.641853715
177,Chanjiji,108,Dr. Tobgyel MSS,8,27.431219,89.648438,27.4555043578,89.6529220173
178,Core,108,Dr. Tobgyel MSS,3,27.431219,89.648438,27.4733136477,89.6382533581
179,Debsi,108,Dr. Tobgyel MSS,34,27.431219,89.648438,27.4315666969,89.6403752994
180,Gangchey,108,Dr. Tobgyel MSS,6,27.431219,89.648438,27.4177850318,89.6418826587
181,Khasadrapchu,108,Dr. Tobgyel MSS,9,27.431219,89.648438,27.386985,89.584902
182,Langjophakha,108,Dr. Tobgyel MSS,1,27.431219,89.648438,27.4958974797,89.6413215052
183,Lubding,108,Dr. Tobgyel MSS,3,27.431219,89.648438,27.4497466283,89.6694540333
184,Motithang,108,Dr. Tobgyel MSS,10,27.431219,89.648438,27.4766506425,89.6197167055
185,Namseyling,108,Dr. Tobgyel MSS,8,27.431219,89.648438,27.404257,89.6064
186,Olakha,108,Dr. Tobgyel MSS,29,27.431219,89.648438,27.4469707462,89.6587524835
187,Pamtsho,108,Dr. Tobgyel MSS,1,27.431219,89.648438,27.5107091633,89.6341291296
188,Ramtokto,108,Dr. Tobgyel MSS,6,27.431219,89.648438,27.416321,89.622819
189,RTC,108,Dr. Tobgyel MSS,12,27.431219,89.648438,27.4034984778,89.6566570452
190,Samtenling,108,Dr. Tobgyel MSS,2,27.431219,89.648438,27.50077888,89.6336932565
191,Serbithang,108,Dr. Tobgyel MSS,11,27.431219,89.648438,27.4202951523,89.6559116068
192,Simtokha,108,Dr. Tobgyel MSS,21,27.431219,89.648438,27.4344083978,89.6678739051
193,Taba,108,Dr. Tobgyel MSS,1,27.431219,89.648438,27.5129062519,89.6451777064
194,Tshalubar,108,Dr. Tobgyel MSS,7,27.431219,89.648438,27.4377037677,89.6555866401
195,Tshalumarphey,108,Dr. Tobgyel MSS,13,27.431219,89.648438,27.4377037677,89.6555866401
196,Babesa,109,Druk HSS,8,27.460459,89.637772,27.4291816677,89.6472096023
197,Changangkha,109,Druk HSS,14,27.460459,89.637772,27.4724539904,89.6308464685
198,Changbangdu,109,Druk HSS,5,27.460459,89.637772,27.4513917224,89.6472442834
199,Changgidaphu,109,Druk HSS,16,27.460459,89.637772,27.4599353896,89.6333761155
200,Changjalu,109,Druk HSS,7,27.460459,89.637772,27.4469707462,89.6587524835
201,Changzamtog,109,Druk HSS,20,27.460459,89.637772,27.4611489703,89.641853715
202,Chanjiji,109,Druk HSS,3,27.460459,89.637772,27.4555043578,89.6529220173
203,Core,109,Druk HSS,10,27.460459,89.637772,27.4733136477,89.6382533581
204,Debsi,109,Druk HSS,5,27.460459,89.637772,27.4315666969,89.6403752994
205,Dechencholing,109,Druk HSS,3,27.460459,89.637772,27.5326052807,89.6425383727
206,Gangchey,109,Druk HSS,2,27.460459,89.637772,27.4177850318,89.6418826587
207,Hejo,109,Druk HSS,1,27.460459,89.637772,27.50077888,89.6336932565
208,Jungshina,109,Druk HSS,2,27.460459,89.637772,27.5107091633,89.6341291296
209,Kawangjangsa,109,Druk HSS,3,27.460459,89.637772,27.4855720912,89.6302952398
210,Kungacholing,109,Druk HSS,1,27.460459,89.637772,27.4766506425,89.6197167055
211,Langjophakha,109,Druk HSS,1,27.460459,89.637772,27.4958974797,89.6413215052
212,Motithang,109,Druk HSS,14,27.460459,89.637772,27.4766506425,89.6197167055
213,Namseyling,109,Druk HSS,1,27.460459,89.637772,27.404257,89.6064
214,Olakha,109,Druk HSS,3,27.460459,89.637772,27.4469707462,89.6587524835
215,Pamtsho,109,Druk HSS,2,27.460459,89.637772,27.5107091633,89.6341291296
216,RTC,109,Druk HSS,3,27.460459,89.637772,27.4034984778,89.6566570452
217,Samtenling,109,Druk HSS,4,27.460459,89.637772,27.50077888,89.6336932565
218,Serbithang,109,Druk HSS,2,27.460459,89.637772,27.4202951523,89.6559116068
219,Simtokha,109,Druk HSS,2,27.460459,89.637772,27.4344083978,89.6678739051
220,Taba,109,Druk HSS,6,27.460459,89.637772,27.5129062519,89.6451777064
221,Tshalumarphey,109,Druk HSS,5,27.460459,89.637772,27.4377037677,89.6555866401
222,Yangchenphug,109,Druk HSS,1,27.460459,89.637772,27.467397,89.6467373768
223,Zilukha,109,Druk HSS,1,27.460459,89.637772,27.4855720912,89.6302952398
224,Babesa,110,Early Learning Centre PS,2,27.478166,89.626891,27.4291816677,89.6472096023
225,Changangkha,110,Early Learning Centre PS,10,27.478166,89.626891,27.4724539904,89.6308464685
226,Changbangdu,110,Early Learning Centre PS,4,27.478166,89.626891,27.4513917224,89.6472442834
227,Changjalu,110,Early Learning Centre PS,1,27.478166,89.626891,27.4469707462,89.6587524835
228,Changzamtog,110,Early Learning Centre PS,2,27.478166,89.626891,27.4611489703,89.641853715
229,Core,110,Early Learning Centre PS,1,27.478166,89.626891,27.4733136477,89.6382533581
230,Debsi,110,Early Learning Centre PS,1,27.478166,89.626891,27.4315666969,89.6403752994
231,Dechencholing,110,Early Learning Centre PS,2,27.478166,89.626891,27.5326052807,89.6425383727
232,Hejo,110,Early Learning Centre PS,4,27.478166,89.626891,27.50077888,89.6336932565
233,Jungshina,110,Early Learning Centre PS,1,27.478166,89.626891,27.5107091633,89.6341291296
234,Kabisa,110,Early Learning Centre PS,1,27.478166,89.626891,27.5490698811,89.6542996104
235,Kawangjangsa,110,Early Learning Centre PS,1,27.478166,89.626891,27.4855720912,89.6302952398
236,Kungacholing,110,Early Learning Centre PS,1,27.478166,89.626891,27.4766506425,89.6197167055
237,Langjophakha,110,Early Learning Centre PS,1,27.478166,89.626891,27.4958974797,89.6413215052
238,Motithang,110,Early Learning Centre PS,14,27.478166,89.626891,27.4766506425,89.6197167055
239,Namseyling,110,Early Learning Centre PS,1,27.478166,89.626891,27.404257,89.6064
240,Pamtsho,110,Early Learning Centre PS,2,27.478166,89.626891,27.5107091633,89.6341291296
241,Simtokha,110,Early Learning Centre PS,2,27.478166,89.626891,27.4344083978,89.6678739051
242,Taba,110,Early Learning Centre PS,6,27.478166,89.626891,27.5129062519,89.6451777064
243,Yangchenphug,110,Early Learning Centre PS,3,27.478166,89.626891,27.467397,89.6467373768
244,Zilukha,110,Early Learning Centre PS,3,27.478166,89.626891,27.4855720912,89.6302952398
245,Babesa,111,Educating for Lifelong Citizenship High School,4,27.464768,89.651733,27.4291816677,89.6472096023
246,Changangkha,111,Educating for Lifelong Citizenship High School,3,27.464768,89.651733,27.4724539904,89.6308464685
247,Changgidaphu,111,Educating for Lifelong Citizenship High School,3,27.464768,89.651733,27.4599353896,89.6333761155
248,Changjalu,111,Educating for Lifelong Citizenship High School,2,27.464768,89.651733,27.4469707462,89.6587524835
249,Changzamtog,111,Educating for Lifelong Citizenship High School,3,27.464768,89.651733,27.4611489703,89.641853715
250,Core,111,Educating for Lifelong Citizenship High School,3,27.464768,89.651733,27.4733136477,89.6382533581
251,Kawangjangsa,111,Educating for Lifelong Citizenship High School,2,27.464768,89.651733,27.4855720912,89.6302952398
252,Khasadrapchu,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.386985,89.584902
253,Langjophakha,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.4958974797,89.6413215052
254,Motithang,111,Educating for Lifelong Citizenship High School,10,27.464768,89.651733,27.4766506425,89.6197167055
255,Olakha,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.4469707462,89.6587524835
256,Pamtsho,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.5107091633,89.6341291296
257,Taba,111,Educating for Lifelong Citizenship High School,3,27.464768,89.651733,27.5129062519,89.6451777064
258,Tshalumarphey,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.4377037677,89.6555866401
259,Yangchenphug,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.467397,89.6467373768
260,Zilukha,111,Educating for Lifelong Citizenship High School,1,27.464768,89.651733,27.4855720912,89.6302952398
261,Babesa,112,Etho Metho PS,5,27.467893,89.636448,27.4291816677,89.6472096023
262,Changangkha,112,Etho Metho PS,22,27.467893,89.636448,27.4724539904,89.6308464685
263,Changbangdu,112,Etho Metho PS,4,27.467893,89.636448,27.4513917224,89.6472442834
264,Changgidaphu,112,Etho Metho PS,6,27.467893,89.636448,27.4599353896,89.6333761155
265,Changjalu,112,Etho Metho PS,13,27.467893,89.636448,27.4469707462,89.6587524835
266,Changzamtog,112,Etho Metho PS,19,27.467893,89.636448,27.4611489703,89.641853715
267,Chanjiji,112,Etho Metho PS,9,27.467893,89.636448,27.4555043578,89.6529220173
268,Core,112,Etho Metho PS,23,27.467893,89.636448,27.4733136477,89.6382533581
269,Dechencholing,112,Etho Metho PS,3,27.467893,89.636448,27.5326052807,89.6425383727
270,Gangchey,112,Etho Metho PS,1,27.467893,89.636448,27.4177850318,89.6418826587
271,Hejo,112,Etho Metho PS,7,27.467893,89.636448,27.50077888,89.6336932565
272,Jungshina,112,Etho Metho PS,5,27.467893,89.636448,27.5107091633,89.6341291296
273,Kabisa,112,Etho Metho PS,2,27.467893,89.636448,27.5490698811,89.6542996104
274,Kawangjangsa,112,Etho Metho PS,1,27.467893,89.636448,27.4855720912,89.6302952398
275,Langjophakha,112,Etho Metho PS,5,27.467893,89.636448,27.4958974797,89.6413215052
276,Motithang,112,Etho Metho PS,3,27.467893,89.636448,27.4766506425,89.6197167055
277,Namseyling,112,Etho Metho PS,1,27.467893,89.636448,27.404257,89.6064
278,Olakha,112,Etho Metho PS,5,27.467893,89.636448,27.4469707462,89.6587524835
279,Pamtsho,112,Etho Metho PS,1,27.467893,89.636448,27.5107091633,89.6341291296
280,RTC,112,Etho Metho PS,2,27.467893,89.636448,27.4034984778,89.6566570452
281,Simtokha,112,Etho Metho PS,4,27.467893,89.636448,27.4344083978,89.6678739051
282,Taba,112,Etho Metho PS,8,27.467893,89.636448,27.5129062519,89.6451777064
283,Yangchenphug,112,Etho Metho PS,9,27.467893,89.636448,27.467397,89.6467373768
284,Zilukha,112,Etho Metho PS,2,27.467893,89.636448,27.4855720912,89.6302952398
285,Babesa,113,Jigme Losel PS,43,27.477071,89.638968,27.4291816677,89.6472096023
286,Begana,113,Jigme Losel PS,23,27.477071,89.638968,27.5718908596,89.6357002125
287,Changangkha,113,Jigme Losel PS,23,27.477071,89.638968,27.4724539904,89.6308464685
288,Changbangdu,113,Jigme Losel PS,23,27.477071,89.638968,27.4513917224,89.6472442834
289,Changgidaphu,113,Jigme Losel PS,16,27.477071,89.638968,27.4599353896,89.6333761155
290,Changjalu,113,Jigme Losel PS,34,27.477071,89.638968,27.4469707462,89.6587524835
291,Changzamtog,113,Jigme Losel PS,55,27.477071,89.638968,27.4611489703,89.641853715
292,Chanjiji,113,Jigme Losel PS,25,27.477071,89.638968,27.4555043578,89.6529220173
293,Core,113,Jigme Losel PS,206,27.477071,89.638968,27.4733136477,89.6382533581
294,Debsi,113,Jigme Losel PS,5,27.477071,89.638968,27.4315666969,89.6403752994
295,Dechencholing,113,Jigme Losel PS,18,27.477071,89.638968,27.5326052807,89.6425383727
296,Dzong,113,Jigme Losel PS,4,27.477071,89.638968,27.4883002592,89.635544727
297,Gangchey,113,Jigme Losel PS,1,27.477071,89.638968,27.4177850318,89.6418826587
298,Hejo,113,Jigme Losel PS,21,27.477071,89.638968,27.50077888,89.6336932565
299,Hongtsho,113,Jigme Losel PS,1,27.477071,89.638968,27.485941,89.724004
300,Jungshina,113,Jigme Losel PS,48,27.477071,89.638968,27.5107091633,89.6341291296
301,Kabisa,113,Jigme Losel PS,9,27.477071,89.638968,27.5490698811,89.6542996104
302,Kawangjangsa,113,Jigme Losel PS,13,27.477071,89.638968,27.4855720912,89.6302952398
303,Khasadrapchu,113,Jigme Losel PS,1,27.477071,89.638968,27.386985,89.584902
304,Langjophakha,113,Jigme Losel PS,79,27.477071,89.638968,27.4958974797,89.6413215052
305,Lubding,113,Jigme Losel PS,3,27.477071,89.638968,27.4497466283,89.6694540333
306,Motithang,113,Jigme Losel PS,22,27.477071,89.638968,27.4766506425,89.6197167055
